cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate,age,compressive_strength,source_label
175.923,0.0,0.0,141.316,6.583,1021.666,988.779,3,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
289.335,0.0,158.52,222.542,0.0,908.519,603.922,90,22.362,DETERMINISTIC_FALLBACK_NOT_UCI
260.042,264.595,0.0,212.433,0.0,1032.088,961.455,14,23.756,DETERMINISTIC_FALLBACK_NOT_UCI
454.121,0.0,0.0,144.196,14.101,1021.39,767.321,28,47.782,DETERMINISTIC_FALLBACK_NOT_UCI
140.668,0.0,0.0,125.391,0.0,862.704,887.076,56,5.183,DETERMINISTIC_FALLBACK_NOT_UCI
490.816,152.528,146.94,181.275,0.0,917.829,828.809,7,39.495,DETERMINISTIC_FALLBACK_NOT_UCI
393.552,279.173,127.548,133.732,29.843,921.601,616.593,28,45.075,DETERMINISTIC_FALLBACK_NOT_UCI
484.78,221.065,92.437,144.5,9.962,970.411,745.113,7,47.559,DETERMINISTIC_FALLBACK_NOT_UCI
288.58,0.0,0.0,237.822,22.351,1139.897,647.969,28,16.011,DETERMINISTIC_FALLBACK_NOT_UCI
315.057,0.0,0.0,161.156,21.382,804.862,903.011,56,33.825,DETERMINISTIC_FALLBACK_NOT_UCI
150.625,0.0,0.0,170.999,0.0,973.995,923.039,90,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
473.792,46.718,0.0,130.785,19.857,876.316,698.976,28,53.946,DETERMINISTIC_FALLBACK_NOT_UCI
537.933,216.963,175.783,166.54,13.411,1087.584,866.333,90,71.207,DETERMINISTIC_FALLBACK_NOT_UCI
193.877,293.797,0.0,127.674,0.0,1056.862,864.692,28,24.706,DETERMINISTIC_FALLBACK_NOT_UCI
166.56,171.26,42.394,206.513,27.535,887.339,602.727,28,20.056,DETERMINISTIC_FALLBACK_NOT_UCI
156.656,328.808,0.0,143.091,9.483,950.149,762.41,28,26.047,DETERMINISTIC_FALLBACK_NOT_UCI
460.368,0.0,106.844,147.342,0.0,1035.161,802.276,56,45.131,DETERMINISTIC_FALLBACK_NOT_UCI
387.402,0.0,101.396,195.846,0.0,912.837,699.659,180,39.898,DETERMINISTIC_FALLBACK_NOT_UCI
416.698,0.0,0.0,201.151,9.987,824.189,710.004,56,34.584,DETERMINISTIC_FALLBACK_NOT_UCI
250.772,0.0,0.0,210.729,0.0,1086.613,885.086,7,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
192.349,291.614,0.0,160.454,25.011,997.032,976.204,28,28.514,DETERMINISTIC_FALLBACK_NOT_UCI
345.363,339.04,143.932,164.632,0.0,1060.607,908.297,3,22.863,DETERMINISTIC_FALLBACK_NOT_UCI
308.253,0.0,157.781,190.384,15.615,807.511,823.176,7,21.614,DETERMINISTIC_FALLBACK_NOT_UCI
355.258,0.0,87.353,146.258,10.829,858.146,827.953,7,36.305,DETERMINISTIC_FALLBACK_NOT_UCI
482.464,0.0,0.0,138.837,0.0,1101.507,814.86,28,46.915,DETERMINISTIC_FALLBACK_NOT_UCI
377.511,217.301,0.0,153.955,27.337,987.929,892.134,28,52.837,DETERMINISTIC_FALLBACK_NOT_UCI
223.462,268.92,116.474,133.619,9.688,1108.151,817.569,56,39.419,DETERMINISTIC_FALLBACK_NOT_UCI
520.555,342.232,0.0,161.697,0.0,806.922,929.311,28,47.844,DETERMINISTIC_FALLBACK_NOT_UCI
251.29,349.122,91.852,218.488,16.775,969.405,979.034,28,36.544,DETERMINISTIC_FALLBACK_NOT_UCI
328.545,0.0,0.0,192.485,15.52,1031.284,795.91,7,15.297,DETERMINISTIC_FALLBACK_NOT_UCI
507.817,174.094,0.0,180.547,20.696,976.059,983.112,28,55.429,DETERMINISTIC_FALLBACK_NOT_UCI
366.359,291.411,146.088,170.987,0.0,1096.94,734.107,100,43.441,DETERMINISTIC_FALLBACK_NOT_UCI
212.656,93.39,0.0,217.631,2.274,945.626,650.381,56,14.854,DETERMINISTIC_FALLBACK_NOT_UCI
193.745,0.0,67.402,220.14,17.397,1031.198,921.216,14,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
337.099,129.913,105.607,206.514,0.0,1123.759,957.303,14,22.035,DETERMINISTIC_FALLBACK_NOT_UCI
240.664,0.0,0.0,149.247,12.739,962.691,687.627,1,9.889,DETERMINISTIC_FALLBACK_NOT_UCI
122.099,0.0,74.842,171.437,0.0,1008.987,980.35,180,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
522.197,0.0,0.0,205.614,0.0,867.401,853.032,100,49.816,DETERMINISTIC_FALLBACK_NOT_UCI
537.545,222.821,197.393,240.948,12.893,1055.559,877.528,1,41.664,DETERMINISTIC_FALLBACK_NOT_UCI
292.906,0.0,78.031,203.609,8.546,1105.465,792.105,28,22.793,DETERMINISTIC_FALLBACK_NOT_UCI
156.986,0.0,0.0,144.036,28.981,878.49,764.45,56,9.324,DETERMINISTIC_FALLBACK_NOT_UCI
392.591,270.301,0.0,213.269,30.119,839.498,977.502,3,30.559,DETERMINISTIC_FALLBACK_NOT_UCI
352.972,0.0,111.016,235.855,8.589,1121.435,599.283,14,22.199,DETERMINISTIC_FALLBACK_NOT_UCI
510.941,328.83,194.875,241.638,8.29,1124.71,745.909,28,57.045,DETERMINISTIC_FALLBACK_NOT_UCI
209.886,38.338,0.0,201.62,11.502,1002.854,766.063,7,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
496.532,0.0,0.0,210.297,31.435,904.671,843.724,28,41.597,DETERMINISTIC_FALLBACK_NOT_UCI
422.625,0.0,87.385,136.555,0.0,1130.886,965.933,100,46.765,DETERMINISTIC_FALLBACK_NOT_UCI
200.739,110.496,25.217,208.934,0.0,957.779,732.188,7,5.072,DETERMINISTIC_FALLBACK_NOT_UCI
364.761,0.0,166.808,149.058,26.942,1123.419,752.028,90,49.336,DETERMINISTIC_FALLBACK_NOT_UCI
523.65,285.333,0.0,243.332,15.526,967.09,992.653,1,39.586,DETERMINISTIC_FALLBACK_NOT_UCI
201.189,176.239,0.0,169.998,21.671,1048.643,809.547,3,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
504.666,136.731,0.0,185.295,5.518,955.53,704.173,28,49.257,DETERMINISTIC_FALLBACK_NOT_UCI
225.564,0.0,178.279,171.673,1.63,877.584,712.219,7,11.743,DETERMINISTIC_FALLBACK_NOT_UCI
357.443,91.701,79.621,123.006,25.003,1129.96,941.109,180,56.465,DETERMINISTIC_FALLBACK_NOT_UCI
472.845,282.074,173.494,211.218,12.721,1090.417,932.524,28,49.36,DETERMINISTIC_FALLBACK_NOT_UCI
241.129,128.158,102.884,178.369,31.889,1104.113,652.094,14,20.643,DETERMINISTIC_FALLBACK_NOT_UCI
362.118,0.0,62.328,172.153,29.81,1002.961,907.11,28,41.347,DETERMINISTIC_FALLBACK_NOT_UCI
226.311,0.0,0.0,156.202,18.78,896.023,644.482,180,24.388,DETERMINISTIC_FALLBACK_NOT_UCI
413.89,0.0,0.0,156.581,9.048,978.039,912.761,180,49.488,DETERMINISTIC_FALLBACK_NOT_UCI
438.482,303.027,139.092,142.979,0.0,1022.684,656.506,28,50.475,DETERMINISTIC_FALLBACK_NOT_UCI
269.154,0.0,0.0,158.747,15.044,1032.354,839.795,28,23.165,DETERMINISTIC_FALLBACK_NOT_UCI
323.304,313.438,130.886,142.907,24.271,1046.0,766.773,90,58.395,DETERMINISTIC_FALLBACK_NOT_UCI
499.38,0.0,51.067,210.444,0.0,1036.634,831.434,28,51.374,DETERMINISTIC_FALLBACK_NOT_UCI
285.688,0.0,150.652,209.205,4.446,890.841,913.764,3,13.936,DETERMINISTIC_FALLBACK_NOT_UCI
202.2,0.0,194.049,175.173,0.0,1089.721,604.518,14,8.173,DETERMINISTIC_FALLBACK_NOT_UCI
504.328,38.881,0.0,149.626,0.0,1044.499,888.421,28,58.396,DETERMINISTIC_FALLBACK_NOT_UCI
214.126,102.357,98.962,186.013,31.665,1101.109,750.734,14,21.656,DETERMINISTIC_FALLBACK_NOT_UCI
485.213,0.0,0.0,228.386,27.677,899.639,844.696,1,19.642,DETERMINISTIC_FALLBACK_NOT_UCI
122.472,317.312,21.215,178.284,20.585,877.787,716.323,7,16.027,DETERMINISTIC_FALLBACK_NOT_UCI
363.055,0.0,195.664,219.43,5.684,892.507,679.157,28,35.878,DETERMINISTIC_FALLBACK_NOT_UCI
123.28,166.679,145.385,163.33,15.527,976.49,675.358,28,17.732,DETERMINISTIC_FALLBACK_NOT_UCI
333.52,0.0,0.0,220.217,3.683,821.82,930.345,28,17.358,DETERMINISTIC_FALLBACK_NOT_UCI
207.337,0.0,188.504,238.881,6.466,961.134,803.826,180,17.892,DETERMINISTIC_FALLBACK_NOT_UCI
155.376,0.0,129.835,232.247,15.233,822.329,664.463,3,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
332.703,271.59,52.773,224.774,0.0,1111.94,801.917,90,39.893,DETERMINISTIC_FALLBACK_NOT_UCI
393.902,0.0,0.0,228.711,15.3,964.895,790.476,56,33.83,DETERMINISTIC_FALLBACK_NOT_UCI
244.414,0.0,0.0,141.903,29.033,816.83,602.308,28,25.201,DETERMINISTIC_FALLBACK_NOT_UCI
450.071,326.826,176.142,147.331,16.855,832.495,688.908,28,57.776,DETERMINISTIC_FALLBACK_NOT_UCI
504.432,0.0,133.399,169.408,15.451,959.452,934.146,28,52.416,DETERMINISTIC_FALLBACK_NOT_UCI
129.951,41.464,0.0,237.954,27.426,821.506,751.401,1,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
236.816,0.0,0.0,234.352,0.0,1007.462,849.44,28,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
240.023,263.016,131.463,194.334,23.638,850.813,949.264,100,34.208,DETERMINISTIC_FALLBACK_NOT_UCI
154.713,38.098,122.633,190.649,0.0,1069.844,892.712,28,4.558,DETERMINISTIC_FALLBACK_NOT_UCI
135.195,342.924,0.0,231.47,31.717,958.607,605.527,56,19.45,DETERMINISTIC_FALLBACK_NOT_UCI
290.574,309.099,52.064,230.245,22.223,1028.382,621.911,28,38.064,DETERMINISTIC_FALLBACK_NOT_UCI
511.664,229.172,0.0,196.364,11.439,987.95,636.926,14,43.896,DETERMINISTIC_FALLBACK_NOT_UCI
147.997,0.0,0.0,178.127,0.0,1019.278,968.015,28,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
376.105,0.0,41.712,244.867,2.583,937.317,835.49,56,30.38,DETERMINISTIC_FALLBACK_NOT_UCI
262.795,0.0,0.0,134.312,0.0,826.538,764.565,28,19.059,DETERMINISTIC_FALLBACK_NOT_UCI
215.903,62.768,0.0,153.435,27.385,1144.816,992.914,100,22.313,DETERMINISTIC_FALLBACK_NOT_UCI
331.829,142.303,54.958,183.333,23.844,858.23,689.761,1,19.019,DETERMINISTIC_FALLBACK_NOT_UCI
170.678,0.0,0.0,148.802,7.484,921.696,602.093,28,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
243.318,0.0,76.035,129.552,2.644,1002.567,699.518,28,26.766,DETERMINISTIC_FALLBACK_NOT_UCI
278.706,0.0,0.0,189.144,0.0,1018.538,934.195,365,33.963,DETERMINISTIC_FALLBACK_NOT_UCI
402.616,0.0,0.0,189.866,16.414,979.03,598.12,28,37.242,DETERMINISTIC_FALLBACK_NOT_UCI
483.684,353.004,0.0,170.652,5.044,1019.016,857.449,7,52.486,DETERMINISTIC_FALLBACK_NOT_UCI
536.784,73.114,84.035,225.732,0.0,1082.118,605.239,56,51.468,DETERMINISTIC_FALLBACK_NOT_UCI
392.374,288.469,0.0,227.525,5.57,861.803,848.066,28,29.317,DETERMINISTIC_FALLBACK_NOT_UCI
500.842,238.731,174.038,229.398,17.541,1064.352,766.049,90,56.325,DETERMINISTIC_FALLBACK_NOT_UCI
319.761,0.0,0.0,191.221,0.0,881.012,612.37,90,29.395,DETERMINISTIC_FALLBACK_NOT_UCI
480.102,0.0,93.052,131.754,9.596,1096.468,855.578,3,29.536,DETERMINISTIC_FALLBACK_NOT_UCI
191.641,0.0,0.0,194.456,24.546,1024.948,784.078,3,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
490.946,140.862,0.0,176.63,15.833,922.092,633.279,28,51.359,DETERMINISTIC_FALLBACK_NOT_UCI
366.105,0.0,167.563,186.753,0.0,1005.224,859.128,1,25.588,DETERMINISTIC_FALLBACK_NOT_UCI
377.121,159.615,0.0,149.605,0.0,930.709,672.571,3,34.809,DETERMINISTIC_FALLBACK_NOT_UCI
151.034,0.0,0.0,133.073,11.859,809.38,892.765,7,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
254.521,92.775,155.111,130.159,28.219,835.251,701.849,28,42.071,DETERMINISTIC_FALLBACK_NOT_UCI
185.537,264.978,146.859,241.447,21.366,825.576,915.06,90,33.558,DETERMINISTIC_FALLBACK_NOT_UCI
290.309,0.0,120.727,159.365,0.0,825.258,870.078,1,11.116,DETERMINISTIC_FALLBACK_NOT_UCI
500.932,0.0,92.959,187.797,0.0,910.132,617.12,28,47.067,DETERMINISTIC_FALLBACK_NOT_UCI
216.6,226.635,162.369,171.88,24.908,851.128,656.191,7,32.586,DETERMINISTIC_FALLBACK_NOT_UCI
152.138,0.0,0.0,155.339,16.316,882.572,987.04,56,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
207.159,0.0,0.0,184.675,12.903,832.681,932.653,100,5.494,DETERMINISTIC_FALLBACK_NOT_UCI
108.282,70.469,0.0,198.186,20.03,1053.366,948.328,90,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
248.749,0.0,87.402,134.346,0.0,1130.596,781.298,7,15.047,DETERMINISTIC_FALLBACK_NOT_UCI
329.349,0.0,0.0,219.26,0.0,928.582,814.632,28,23.14,DETERMINISTIC_FALLBACK_NOT_UCI
387.743,84.202,0.0,148.238,18.281,803.634,780.782,7,44.836,DETERMINISTIC_FALLBACK_NOT_UCI
198.546,31.788,0.0,198.955,0.0,851.635,680.743,7,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
454.019,145.08,158.508,213.331,9.05,943.027,913.534,14,37.629,DETERMINISTIC_FALLBACK_NOT_UCI
317.534,0.0,68.058,162.9,29.549,904.718,806.798,28,37.49,DETERMINISTIC_FALLBACK_NOT_UCI
108.048,250.177,0.0,197.073,18.302,1109.147,706.856,14,4.992,DETERMINISTIC_FALLBACK_NOT_UCI
275.54,165.459,140.376,161.721,26.994,1104.663,669.397,28,35.402,DETERMINISTIC_FALLBACK_NOT_UCI
524.616,0.0,167.109,161.879,12.632,1035.948,635.578,90,66.217,DETERMINISTIC_FALLBACK_NOT_UCI
494.369,0.0,0.0,178.371,0.0,1057.825,836.718,7,49.827,DETERMINISTIC_FALLBACK_NOT_UCI
328.851,22.453,169.486,210.802,0.0,822.088,770.432,28,26.621,DETERMINISTIC_FALLBACK_NOT_UCI
189.742,0.0,0.0,218.428,0.0,1131.259,827.232,28,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
342.294,229.345,109.409,245.788,21.652,1097.815,710.04,100,49.805,DETERMINISTIC_FALLBACK_NOT_UCI
177.5,46.512,60.736,174.773,0.0,953.416,860.834,7,6.832,DETERMINISTIC_FALLBACK_NOT_UCI
529.375,0.0,0.0,217.891,5.902,929.78,739.674,7,38.598,DETERMINISTIC_FALLBACK_NOT_UCI
400.334,0.0,161.277,200.407,8.428,1115.65,840.827,3,28.111,DETERMINISTIC_FALLBACK_NOT_UCI
296.74,0.0,0.0,175.632,30.436,817.426,598.815,14,13.334,DETERMINISTIC_FALLBACK_NOT_UCI
156.967,0.0,102.788,210.598,0.0,1034.718,911.732,28,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
350.747,0.0,0.0,219.56,8.328,925.831,630.229,28,23.685,DETERMINISTIC_FALLBACK_NOT_UCI
174.537,122.499,70.584,140.495,0.0,935.541,770.252,7,5.048,DETERMINISTIC_FALLBACK_NOT_UCI
356.237,190.899,0.0,220.972,2.128,828.176,723.426,14,29.685,DETERMINISTIC_FALLBACK_NOT_UCI
415.44,0.0,0.0,132.748,23.539,990.891,671.0,14,43.927,DETERMINISTIC_FALLBACK_NOT_UCI
275.688,187.61,0.0,175.008,13.887,981.946,600.513,56,34.746,DETERMINISTIC_FALLBACK_NOT_UCI
326.648,138.397,120.908,237.077,12.607,986.004,770.402,28,31.352,DETERMINISTIC_FALLBACK_NOT_UCI
487.708,0.0,0.0,206.419,30.512,950.832,847.622,180,60.082,DETERMINISTIC_FALLBACK_NOT_UCI
172.535,0.0,0.0,167.12,24.677,946.48,959.302,28,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
530.918,246.951,72.935,155.895,23.311,923.739,805.708,1,49.394,DETERMINISTIC_FALLBACK_NOT_UCI
397.963,18.909,142.585,157.077,11.942,912.046,976.032,1,23.28,DETERMINISTIC_FALLBACK_NOT_UCI
285.49,129.782,196.887,167.638,26.719,1125.759,817.979,7,32.232,DETERMINISTIC_FALLBACK_NOT_UCI
266.235,0.0,188.271,178.766,0.0,1048.079,759.573,365,33.929,DETERMINISTIC_FALLBACK_NOT_UCI
248.636,265.498,0.0,214.169,16.172,1051.673,897.515,7,33.162,DETERMINISTIC_FALLBACK_NOT_UCI
297.509,189.34,0.0,142.698,13.455,1102.032,884.374,365,51.211,DETERMINISTIC_FALLBACK_NOT_UCI
477.949,224.86,0.0,180.174,6.609,963.628,844.019,28,47.088,DETERMINISTIC_FALLBACK_NOT_UCI
185.509,0.0,22.309,190.91,9.985,1056.98,606.339,90,4.201,DETERMINISTIC_FALLBACK_NOT_UCI
410.098,0.0,0.0,134.04,0.0,846.482,636.742,28,43.979,DETERMINISTIC_FALLBACK_NOT_UCI
152.429,132.704,175.223,207.992,0.0,1103.413,827.715,28,7.361,DETERMINISTIC_FALLBACK_NOT_UCI
109.999,29.335,91.789,129.08,12.04,881.179,611.037,3,3.532,DETERMINISTIC_FALLBACK_NOT_UCI
271.68,0.0,149.291,243.26,0.0,830.555,949.964,28,14.643,DETERMINISTIC_FALLBACK_NOT_UCI
319.644,0.0,85.079,219.31,29.975,964.827,942.521,90,38.767,DETERMINISTIC_FALLBACK_NOT_UCI
531.386,165.601,0.0,170.474,23.568,929.651,946.491,28,56.977,DETERMINISTIC_FALLBACK_NOT_UCI
236.154,30.352,0.0,197.476,31.206,1087.058,958.938,28,11.904,DETERMINISTIC_FALLBACK_NOT_UCI
450.156,268.451,34.565,153.198,18.056,1126.826,787.212,28,50.094,DETERMINISTIC_FALLBACK_NOT_UCI
261.425,0.0,0.0,133.104,0.0,996.073,617.623,56,20.123,DETERMINISTIC_FALLBACK_NOT_UCI
353.912,0.0,0.0,125.534,12.128,999.64,743.84,7,34.347,DETERMINISTIC_FALLBACK_NOT_UCI
109.864,342.042,0.0,125.368,18.003,1104.897,950.413,365,40.005,DETERMINISTIC_FALLBACK_NOT_UCI
384.291,0.0,40.757,212.567,0.0,1028.092,960.077,3,22.39,DETERMINISTIC_FALLBACK_NOT_UCI
394.345,225.851,0.0,127.259,13.974,835.464,862.026,3,39.337,DETERMINISTIC_FALLBACK_NOT_UCI
236.337,0.0,68.244,136.094,0.0,909.979,620.92,3,27.062,DETERMINISTIC_FALLBACK_NOT_UCI
408.329,0.0,110.111,196.109,0.0,1059.48,893.398,56,42.524,DETERMINISTIC_FALLBACK_NOT_UCI
258.029,21.858,0.0,212.347,0.0,953.51,733.375,28,7.352,DETERMINISTIC_FALLBACK_NOT_UCI
220.77,0.0,191.885,138.125,12.092,1051.405,943.408,14,19.029,DETERMINISTIC_FALLBACK_NOT_UCI
184.906,318.11,46.003,123.854,0.0,1037.524,912.189,28,23.304,DETERMINISTIC_FALLBACK_NOT_UCI
157.318,202.838,101.637,128.94,10.268,960.096,880.267,7,25.875,DETERMINISTIC_FALLBACK_NOT_UCI
354.142,0.0,0.0,207.777,0.0,1056.499,788.001,3,16.681,DETERMINISTIC_FALLBACK_NOT_UCI
473.206,105.499,0.0,222.69,0.0,814.46,637.916,7,34.648,DETERMINISTIC_FALLBACK_NOT_UCI
449.387,0.0,0.0,221.558,0.0,1096.796,808.237,14,34.244,DETERMINISTIC_FALLBACK_NOT_UCI
258.337,0.0,0.0,171.8,0.0,1109.414,962.349,28,12.293,DETERMINISTIC_FALLBACK_NOT_UCI
188.801,0.0,0.0,187.198,15.986,855.682,977.894,7,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
108.396,312.594,119.163,219.803,17.206,923.482,765.968,28,18.887,DETERMINISTIC_FALLBACK_NOT_UCI
151.843,129.351,0.0,133.839,0.0,1089.618,677.602,28,13.882,DETERMINISTIC_FALLBACK_NOT_UCI
193.898,296.729,95.214,195.569,0.0,873.732,826.278,7,11.663,DETERMINISTIC_FALLBACK_NOT_UCI
241.311,15.026,0.0,126.599,20.595,1003.666,645.169,3,7.358,DETERMINISTIC_FALLBACK_NOT_UCI
502.86,82.405,108.242,206.942,18.049,928.005,819.004,28,50.138,DETERMINISTIC_FALLBACK_NOT_UCI
163.772,0.0,0.0,176.675,4.675,860.655,800.146,1,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
497.552,358.927,180.248,246.176,21.564,1135.349,646.535,28,63.472,DETERMINISTIC_FALLBACK_NOT_UCI
429.112,270.393,0.0,139.807,4.862,1140.276,644.251,28,47.564,DETERMINISTIC_FALLBACK_NOT_UCI
349.686,83.176,147.379,238.146,15.813,1042.084,795.282,28,36.875,DETERMINISTIC_FALLBACK_NOT_UCI
260.476,0.0,0.0,210.956,0.0,904.211,831.881,56,12.957,DETERMINISTIC_FALLBACK_NOT_UCI
340.043,0.0,0.0,141.473,0.0,948.283,688.517,90,34.142,DETERMINISTIC_FALLBACK_NOT_UCI
356.964,243.74,169.398,195.395,15.927,949.342,842.294,28,45.968,DETERMINISTIC_FALLBACK_NOT_UCI
252.211,305.737,0.0,150.506,8.321,805.25,879.816,90,39.453,DETERMINISTIC_FALLBACK_NOT_UCI
169.08,0.0,183.961,203.906,0.0,996.604,795.258,28,5.935,DETERMINISTIC_FALLBACK_NOT_UCI
508.809,0.0,0.0,178.679,0.0,981.371,647.736,3,43.915,DETERMINISTIC_FALLBACK_NOT_UCI
454.165,0.0,0.0,151.594,0.0,829.873,815.305,1,28.66,DETERMINISTIC_FALLBACK_NOT_UCI
250.939,81.746,198.075,159.314,0.0,914.407,909.999,28,34.469,DETERMINISTIC_FALLBACK_NOT_UCI
449.15,69.461,0.0,150.938,17.29,931.915,961.863,56,48.938,DETERMINISTIC_FALLBACK_NOT_UCI
468.75,0.0,0.0,229.259,29.504,1055.675,789.174,1,26.113,DETERMINISTIC_FALLBACK_NOT_UCI
437.807,275.941,79.104,128.538,0.0,977.482,773.853,28,49.309,DETERMINISTIC_FALLBACK_NOT_UCI
272.502,328.762,146.215,157.557,28.904,929.931,629.278,28,41.312,DETERMINISTIC_FALLBACK_NOT_UCI
318.684,67.681,24.586,147.608,0.0,992.902,845.145,7,27.864,DETERMINISTIC_FALLBACK_NOT_UCI
463.154,357.712,0.0,175.416,27.584,806.272,865.219,28,59.185,DETERMINISTIC_FALLBACK_NOT_UCI
334.564,190.54,0.0,140.831,4.995,814.336,787.093,90,48.708,DETERMINISTIC_FALLBACK_NOT_UCI
114.557,0.0,0.0,222.558,24.427,954.699,673.424,56,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
142.409,27.447,126.097,205.353,6.994,945.063,606.737,28,2.3,DETERMINISTIC_FALLBACK_NOT_UCI
415.618,37.768,163.689,152.33,2.455,1109.768,775.864,7,38.614,DETERMINISTIC_FALLBACK_NOT_UCI
531.952,0.0,197.965,202.294,10.435,988.108,836.563,100,64.598,DETERMINISTIC_FALLBACK_NOT_UCI
284.038,0.0,49.586,128.626,30.701,946.192,676.568,28,35.509,DETERMINISTIC_FALLBACK_NOT_UCI
265.442,0.0,0.0,191.211,13.14,973.868,773.774,90,24.907,DETERMINISTIC_FALLBACK_NOT_UCI
409.086,0.0,186.29,161.282,26.735,818.355,788.282,7,37.306,DETERMINISTIC_FALLBACK_NOT_UCI
182.731,104.965,174.596,131.167,27.067,939.506,664.472,7,36.643,DETERMINISTIC_FALLBACK_NOT_UCI
159.578,276.716,171.081,225.258,28.883,1119.561,752.089,7,20.841,DETERMINISTIC_FALLBACK_NOT_UCI
